"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","all","female","commuting_0_10","52.99%",0.0107,"57.33%",0.0107,0,10,"commuting","10km = cycling",5
"2","all","female","commuting_0_2","52.99%",0.0107,"53.56%",0.0107,0,2,"commuting","2km = cycling",3
"3","all","female","commuting_0_5","52.99%",0.0107,"55.3%",0.0107,0,5,"commuting","5km = cycling",4
"4","all","female","commuting_1_0","52.99%",0.0107,"53.08%",0.0107,1,0,"commuting","1km = walking",1
"5","all","female","commuting_1_10","52.99%",0.0107,"57.33%",0.0107,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","all","female","commuting_1_2","52.99%",0.0107,"53.56%",0.0107,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","all","female","commuting_1_5","52.99%",0.0107,"55.3%",0.0107,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","all","female","commuting_2_0","52.99%",0.0107,"53.68%",0.0107,2,0,"commuting","2km = walking",2
"9","all","female","commuting_2_10","52.99%",0.0107,"57.4%",0.0107,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","all","female","commuting_2_5","52.99%",0.0107,"55.39%",0.0107,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
